Company,Levy Group,Effective Date,Fuel Surcharge
Allied Overnight Express Pty Ltd,Customer B 1.10,20/04/2026,54.18%
Airroad Pty Ltd,Customer A 1.15,20/04/2026,49.67%
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,13/04/2026,52.60%
Vellex Logistics Pty Ltd,Customer A 1.15,13/04/2026,49.07%
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,13/04/2026,49.07%
TFMXPRESS Pty Ltd,Customer B 1.10,13/04/2026,52.60%
Team Global Express Pty Ltd,Customer A 1.15,13/04/2026,49.07%
SRK Transport,Contractor C SRK,13/04/2026,38.78%
Northline Partnership,Customer A 1.15,13/04/2026,49.07%
Materia Family Trust,Contractor B Materia,13/04/2026,30.20%
Lakes Entrance Delivery Services,Contractor D LEDS,13/04/2026,21.06%
Hunter Express,Customer A 1.15,13/04/2026,48.16%
Hi Trans Express Pty Ltd,Customer A 1.15,13/04/2026,49.07%
G&G Gippsland Pty Ltd,Contractor A GFE,13/04/2026,35.22%
Freight Specialists Pty Ltd,Customer B 1.10,13/04/2026,51.65%
Farm Balance Pty Ltd,Customer B 1.10,13/04/2026,52.60%
Dux Manufacturing Ltd,Customer B 1.10,13/04/2026,52.60%
Direct Freight Express Pty Ltd,Customer B 1.10,13/04/2026,52.60%
D&E Valley Freight,D&E Valley Freight,13/04/2026,
Cahill Transport,Customer B 1.10,13/04/2026,52.60%
Bluestar Logistics Pty Ltd,Customer B 1.10,13/04/2026,52.60%
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,13/04/2026,52.60%
Amalgamated National Logistics,Customer B 1.10,13/04/2026,52.60%
Allied Overnight Express Pty Ltd,Customer B 1.10,13/04/2026,52.60%
Airroad Pty Ltd,Customer A 1.15,13/04/2026,49.07%
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,06/04/2026,51.48%
Vellex Logistics Pty Ltd,Customer A 1.15,06/04/2026,48.00%
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,06/04/2026,48.00%
TFMXPRESS Pty Ltd,Customer B 1.10,06/04/2026,51.48%
Team Global Express Pty Ltd,Customer A 1.15,06/04/2026,48.00%
SRK Transport,Contractor C SRK,06/04/2026,39.18%
Northline Partnership,Customer A 1.15,06/04/2026,48.00%
Materia Family Trust,Contractor B Materia,06/04/2026,30.55%
Lakes Entrance Delivery Services,Contractor D LEDS,06/04/2026,20.38%
Hunter Express,Customer A 1.15,06/04/2026,48.00%
Hi Trans Express Pty Ltd,Customer A 1.15,06/04/2026,48.00%
G&G Gippsland Pty Ltd,Contractor A GFE,06/04/2026,34.34%
Freight Specialists Pty Ltd,Customer B 1.10,06/04/2026,51.48%
Farm Balance Pty Ltd,Customer B 1.10,06/04/2026,51.48%
Dux Manufacturing Ltd,Customer B 1.10,06/04/2026,51.48%
Direct Freight Express Pty Ltd,Customer B 1.10,06/04/2026,51.48%
D&E Valley Freight,D&E Valley Freight,06/04/2026,34.34%
Cahill Transport,Customer B 1.10,06/04/2026,51.48%
Bluestar Logistics Pty Ltd,Customer B 1.10,06/04/2026,51.48%
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,06/04/2026,51.48%
Amalgamated National Logistics,Customer B 1.10,06/04/2026,51.48%
Allied Overnight Express Pty Ltd,Customer B 1.10,06/04/2026,51.48%
Airroad Pty Ltd,Customer A 1.15,06/04/2026,48.00%
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,30/03/2026,44.82%
Vellex Logistics Pty Ltd,Customer A 1.15,30/03/2026,41.63%
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,30/03/2026,41.63%
TFMXPRESS Pty Ltd,Customer B 1.10,30/03/2026,44.82%
Team Global Express Pty Ltd,Customer A 1.15,30/03/2026,41.63%
SRK Transport,Contractor C SRK,30/03/2026,33.54%
Northline Partnership,Customer A 1.15,30/03/2026,41.63%
Materia Family Trust,Contractor B Materia,30/03/2026,25.63%
Lakes Entrance Delivery Services,Contractor D LEDS,30/03/2026,16.31%
Hunter Express,Customer A 1.15,30/03/2026,41.63%
Hi Trans Express Pty Ltd,Customer A 1.15,30/03/2026,41.63%
G&G Gippsland Pty Ltd,Contractor A GFE,30/03/2026,29.11%
Freight Specialists Pty Ltd,Customer B 1.10,30/03/2026,44.82%
Farm Balance Pty Ltd,Customer B 1.10,30/03/2026,44.82%
Dux Manufacturing Ltd,Customer B 1.10,30/03/2026,44.82%
Direct Freight Express Pty Ltd,Customer B 1.10,30/03/2026,44.82%
D&E Valley Freight,D&E Valley Freight,30/03/2026,29.11%
Cahill Transport,Customer B 1.10,30/03/2026,44.82%
Bluestar Logistics Pty Ltd,Customer B 1.10,30/03/2026,44.82%
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,30/03/2026,44.82%
Amalgamated National Logistics,Customer B 1.10,30/03/2026,44.82%
Allied Overnight Express Pty Ltd,Customer B 1.10,30/03/2026,44.82%
Airroad Pty Ltd,Customer A 1.15,30/03/2026,41.63%
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,23/03/2026,34.36%
Vellex Logistics Pty Ltd,Customer A 1.15,23/03/2026,31.62%
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,23/03/2026,31.62%
