Company,Levy Group,Effective Date,Fuel Surcharge,,,,,,,
Dux Manufacturing Ltd,Customer B 1.10,6/04/2026,51.48%,,,,,,,
Farm Balance Pty Ltd,Customer B 1.10,6/04/2026,51.48%,,,,,,,
Freight Specialists Pty Ltd,Customer B 1.10,6/04/2026,51.48%,,,,,,,
G&G Gippsland Pty Ltd,Contractor A GFE,6/04/2026,34.34%,,,,,,,
Hi Trans Express Pty Ltd,Customer A 1.15,6/04/2026,48.00%,,,,,,,
Hunter Express,Customer A 1.15,6/04/2026,48.00%,,,,,,,
Lakes Entrance Delivery Services,Contractor D LEDS,6/04/2026,20.38%,,,,,,,
Materia Family Trust,Contractor B Materia,6/04/2026,30.55%,,,,,,,
Northline Partnership,Customer A 1.15,6/04/2026,48.00%,,,,,,,
SRK Transport,Contractor C SRK,6/04/2026,39.18%,,,,,,,
Team Global Express Pty Ltd,Customer A 1.15,6/04/2026,48.00%,,,,,,,
TFMXPRESS Pty Ltd,Customer B 1.10,6/04/2026,51.48%,,,,,,,
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,6/04/2026,48.00%,,,,,,,
Vellex Logistics Pty Ltd,Customer A 1.15,6/04/2026,48.00%,,,,,,,
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,6/04/2026,51.48%,,,,,,,
Airroad Pty Ltd,Customer A 1.15,30/03/2026,41.63%,,,,,,,
Allied Overnight Express Pty Ltd,Customer B 1.10,30/03/2026,44.82%,,,,,,,
Amalgamated National Logistics,Customer B 1.10,30/03/2026,44.82%,,,,,,,
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,30/03/2026,44.82%,,,,,,,
Bluestar Logistics Pty Ltd,Customer B 1.10,30/03/2026,44.82%,,,,,,,
Cahill Transport,Customer B 1.10,30/03/2026,44.82%,,,,,,,
Direct Freight Express Pty Ltd,Customer B 1.10,30/03/2026,44.82%,,,,,,,
Dux Manufacturing Ltd,Customer B 1.10,30/03/2026,44.82%,,,,,,,
Farm Balance Pty Ltd,Customer B 1.10,30/03/2026,44.82%,,,,,,,
Freight Specialists Pty Ltd,Customer B 1.10,30/03/2026,44.82%,,,,,,,
